39408288,[39408288]
39409650,"[39409650, 39592689, 39635483]"
39409653,[39409653]
39413972,"[39413972, 39428609]"
39414532,"[39414532, 39457974]"
39415234,[39415234]
39416543,"[39416543, 39642920]"
39416602,[39416602]
39417503,"[39417503, 39501281]"
39418283,[39418283]
39418386,"[39418386, 39430095, 39516007, 39530487, 39554539, 39575803, 39631139, 39686585, 39708957]"
39418412,"[39418412, 39453660, 39476304, 39566766, 39650498, 39678532, 39702604]"
39420453,[39420453]
39420769,"[39420769, 39662615]"
39421090,"[39421090, 39535969, 39566732, 39653718, 39662721]"
39423949,"[39423949, 39424688, 39476074, 39487341, 39493770]"
39424688,"[39424688, 39444500, 39471116, 39479001, 39598903, 39684027]"
39426631,"[39418283, 39426631, 39465485, 39528726, 39577878]"
39427876,"[39418386, 39427876, 39537543, 39549194, 39573093, 39601538]"
39428409,"[39428409, 39548088, 39620060, 39636470]"
39428609,[39428609]
39428880,"[39428880, 39512912, 39557188]"
39429370,[39429370]
39430095,"[39430095, 39583473, 39618822, 39639125]"
39432876,[39432876]
39433451,"[39423949, 39433451, 39442273, 39493770, 39604590, 39709089]"
39435320,"[39428880, 39435320, 39442429, 39486717, 39489920, 39559411, 39560862, 39583473, 39593256, 39604600, 39606048, 39606885, 39611484, 39647105, 39678783, 39680997]"
39436358,"[39436358, 39701931]"
39438908,[39438908]
39439655,"[39429370, 39438908, 39439655, 39474467]"
39440179,"[39413972, 39440179, 39471568, 39508046, 39520776, 39529775, 39656657]"
39440808,[39440808]
39442273,[39442273]
39442429,"[39416602, 39442429, 39449748, 39457974, 39476304, 39540738, 39566766, 39576974, 39630985]"
39443679,[39443679]
39443965,[39443965]
39444282,[39444282]
39444500,[39444500]
39446537,[39446537]
39447041,[39447041]
39449424,"[39446537, 39449424]"
39449748,"[39409653, 39449748, 39504981]"
39450669,"[39414532, 39442429, 39450669, 39457974, 39465250, 39465517, 39487341, 39511530, 39529775, 39557188, 39593256, 39611484, 39647105, 39668053, 39679787]"
39452494,"[39452494, 39576974]"
39453271,"[39409650, 39414532, 39453271, 39465250, 39511477, 39675054, 39679787, 39692387]"
39453660,"[39453660, 39480407, 39583473, 39623128]"
39457875,"[39457875, 39656657]"
39457974,"[39457974, 39598189]"
39458264,"[39433451, 39453271, 39458264, 39471388, 39481554, 39512912, 39609997]"
39460148,[39460148]
39462087,"[39450669, 39462087, 39554539]"
39462516,[39462516]
39465230,"[39465230, 39538425, 39625919, 39704914]"
39465250,"[39415234, 39458264, 39465250, 39476304, 39628842]"
39465485,"[39446537, 39465485, 39544286, 39573093, 39643958]"
39465517,[39465517]
39466630,"[39466630, 39499207]"
39467132,[39467132]
39467885,[39467885]
39470381,[39470381]
39471116,"[39444500, 39471116]"
39471221,"[39442273, 39471221, 39564632]"
39471388,"[39467885, 39471388]"
39471568,[39471568]
39472693,[]
39474467,[39474467]
39474909,"[39465230, 39474909, 39538425, 39631139]"
39476074,[39476074]
39476304,[39476304]
39478551,[39478551]
39479001,"[39436358, 39479001]"
39479478,"[39444282, 39479478, 39662698]"
39480407,[39480407]
39481554,"[39453271, 39481554]"
39481670,"[39423949, 39435320, 39450669, 39453271, 39458264, 39462087, 39465250, 39471388, 39481554, 39481670, 39488668, 39501061, 39532367, 39590666, 39631516, 39692387, 39700256]"
39483482,"[39479478, 39483482, 39643958]"
39486717,"[39450669, 39462087, 39471388, 39481670, 39486717, 39604590, 39679787]"
39487124,"[39487124, 39538670]"
39487341,"[39416543, 39487341, 39561021]"
39488668,"[39443965, 39462087, 39488668, 39499207, 39578501]"
39488836,[39488836]
39489920,[39489920]
39491863,"[39457974, 39491863, 39673754]"
39493770,[]
39494925,"[39408288, 39413972, 39440179, 39449424, 39457875, 39494925, 39540886, 39581976, 39656657, 39675249]"
39498345,"[39409653, 39467885, 39480407, 39498345, 39522798]"
39499207,"[39414532, 39487124, 39499207, 39673754]"
39501061,"[39423949, 39433451, 39501061, 39578501]"
39501073,"[39418283, 39446537, 39465485, 39501073, 39540886, 39619041, 39623128]"
39501281,[]
39501982,"[39453271, 39466630, 39479478, 39499207, 39501982, 39599958, 39672450, 39692387]"
39502276,[39502276]
39504715,"[39447041, 39467132, 39471116, 39504715, 39520776, 39570692, 39597030, 39626657, 39675807, 39690725]"
39504981,"[39415234, 39504981]"
39508046,"[39462516, 39508046]"
39508257,"[39418412, 39424688, 39428409, 39452494, 39453660, 39471116, 39493770, 39508257, 39537543, 39589483, 39598189, 39650498, 39669167, 39691808, 39702604]"
39509379,"[39447041, 39472693, 39489920, 39509379, 39523495, 39528726, 39560887, 39637471, 39696139, 39702479, 39710454]"
39509983,"[39409535, 39509983, 39560887]"
39510147,[39510147]
39511477,"[39409650, 39443965, 39481554, 39511477, 39609997, 39675054, 39698546]"
39511530,"[39418386, 39430095, 39449748, 39511530, 39566766, 39575803, 39598903, 39686585, 39690917]"
39511676,"[39501281, 39511676, 39539252, 39592444, 39670922, 39706968]"
39511714,"[39423949, 39467132, 39504715, 39511714, 39626657, 39684027, 39709089]"
39512332,[39512332]
39512896,[39512896]
39512912,"[39489920, 39509983, 39512912, 39643958]"
39516007,[39516007]
39516927,[39516927]
39517145,[39517145]
39519894,"[39421090, 39426631, 39519894, 39600810]"
39520776,"[39476074, 39510147, 39520776, 39547940, 39691808]"
39522249,"[39472693, 39509983, 39522249, 39562530, 39662615]"
39522348,"[39408288, 39424688, 39426631, 39432876, 39436358, 39480407, 39501061, 39504715, 39509379, 39522348, 39532754, 39535969, 39559318, 39570692, 39581976, 39587344, 39615715, 39633172, 39640992, 39643136, 39643833, 39656899, 39662721]"
39522734,"[39491863, 39522249, 39522734]"
39522798,"[39522249, 39522798]"
39523403,"[39474909, 39523403, 39525243, 39538800, 39704914]"
39523495,"[39523495, 39544498]"
39523813,"[39523403, 39523813, 39712618]"
39524164,"[39498345, 39517145, 39524164]"
39525243,"[39512332, 39525243]"
39526057,"[39512332, 39526057]"
39528134,[39528134]
39528726,[39528726]
39529775,[39529775]
39530113,"[39478551, 39502276, 39528726, 39530113, 39560887]"
39530203,"[39530203, 39587344]"
